ambient_temp(C),PbOA2(ml),ODE(ml),OLA(ml),t_inject(C),TMS(ul),ODE_for_TMS(ml),Cl_at_high_t(mM),Cl_at_60C(mM),Result_wavelength(nm),Result_peak/valley
19.9,19.0,15.0,0.0,160.0,180.0,8.0,0.3,0.3,2064.0,3.11
19.9,19.0,15.0,0.0,160.0,180.0,8.0,0.3,0.3,2088.0,2.6
19.9,19.0,15.0,0.0,160.0,180.0,8.0,0.3,0.3,2103.0,3.32
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2049.0,2.4
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2019.0,2.5
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2019.0,2.1
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,1971.0,3.1
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,1917.0,1.8
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2052.0,2.5
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2022.0,2.5
16.2,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,1950.0,3.3
0.1,18.0,15.0,0.0,150.0,190.0,8.0,0.0,0.0,1911.0,2.9
0.1,18.0,15.0,0.0,150.0,190.0,8.0,0.0,0.0,1842.0,3.9
0.1,18.0,15.0,0.0,145.0,190.0,10.0,0.0,0.0,2000.0,3.0
6.0,18.0,15.0,0.0,145.0,190.0,9.0,0.0,0.0,1908.0,3.0
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2028.0,1.9
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2079.0,1.48
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2073.0,2.22
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2103.0,1.73
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2088.0,1.79
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2007.0,2.67
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,1989.0,1.89
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2052.0,1.4
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2073.0,1.88
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2019.0,1.92
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2113.0,1.36
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2085.0,1.79
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2085.0,1.46
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.0,0.0,2094.0,1.88
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.05,0.06,2094.0,1.68
6.0,19.0,15.0,0.0,164.0,180.0,8.0,0.05,0.06,2076.0,2.2
6.0,19.0,15.0,0.0,164.0,180.0,10.0,0.0,0.0,2019.0,2.42
6.0,19.0,15.0,0.0,164.0,180.0,10.0,0.0,0.0,2070.0,2.34
